,User @,Comment Text,original_comment
565,bintangvirgo76,kota nusantara basis oligarkiikn orang orang kayabukan rakyat,['IKN.. basis oligarki..IKN tempat org2 kaya..bukan utk rakyat']
566,birinkbreiting,jokowi tercatat presiden indonesia memindahkan kota indonesia,['dan Jokowi akan tercatat sebagai presiden pertama di indonesia yg memindahkan Ibu kota Indonesia']
567,bismika_husmu,berubah berani ambil resiko,"['bnr ,klo pen berubah harus berani ambil resiko👍🏻']"
568,bj_singkong,dipikirkan tersedia baiknya jgamngingat dngan natuna bermasalahjadi dipindahkan terpantau,"['klo dpikir,mungkin ada baiknya jga,mngingat dngan Natuna yg trus brmsalah,jdi jika dpindahkn,mungkin akn lbih terpantau.😁🙏']"
569,blanzz7,mengubah biar uang hasil alam pemerintah makan hasil kalimantan dibangun jawa dipakai bangun kalimantan,['Pindah biar uang hasil alam yang pemerintah makan dari hasil Kalimantan tidak dibangun di Jawa lagi tapi dipakai bangun Kalimantan juga👍']
570,blaster_meong,biar pembangunan fokus pulau jawa investor masuk fokus pulau jawa,['Biar pembangunan tdk fokus ke pulau jawa terus.. nnti jg bnyk investor yg masuk jd gk fokus ke pulau jawa']
571,blazefore,setujudi jakarta ruwet duit anggaranan pembangunan belanja negara mubazir bangun jakarta,"['gua setuju,,di jkt ruwet😂😂😂\nduit APBN mubazir buat bangun jkt😂']"
572,blue_craft31,,['paling gak jadi']
573,blueall4,bagus jakarta macet,['bagus lah jakarta nga jadi macet lagi']
574,bluebchtr,jakarta pusat pembelanjaan,['fix jakarta akan jadi pusat pembelanjaan']
575,boboboy1106,nyaman menyebut kota jakarta,['sudah nyaman nyebut ibukota jakarta']
576,boboy1505,jualan selamatkan kalimantan,['jualan pak\nselamatkan kalimantan']
577,bociiiiiiiiiiiil,wilayah kemenangan nya beredar impian gambar 3d icon wilayah realisasi nya tersedia kuat beda hasil kerja nya,"['tiap daerah kemenangan nya bnyk beredar impian gambar 3D dgn bermacam icon daerah masing"" tapi realisasi nya ngak ada yg kuat & beda hasil kerja nya?!']"
578,bocil.tengol,habis hutan rindang sejuk tenang damai panas,['ABES LAH HUTAN YG RINDANG SEJUK TENANG DAMAI JADI PANAS']
579,bocil32174,cita-cita angan2,['cita2 dn angan2']
580,bocillbarbarrr,perataan pembangunan kesejahteraan,"['perataan pembangunan dan kesejahteraan,']"
581,bociltoys08,mengubah emang jakarta,['udh di pindah emg jakarta jadi lbh baik ?']
582,boedi296,kehabisan dana,['udah kehabisan dana']
583,bolang_nusantara,menolak lahmending uang kesehatan pendidikan,['nolak lah.mending uang itu untuk kesehatan dan pendidikan.']
584,bolehdikosongi_0,tinggal samarinda samarinda wilayah kalimantan timur masuk kota pemerintah,['saya tingal di samarinda.\nsaya mau tanya apakah samarinda dan daerah di kaltim masuk dalam ibu kota negara ☺🙏']
585,bollaw56,kota Indonesia keren sih,['IBU KOTA NUSANTARA ❤👌keren sii']
586,bomociau5588,asik mengubah,['asik pindah kita']
587,boncospermanen,merantau mengubah kalimantan,['Auto merantau pindah kalimantan']
588,bonsai518,uang,['cuan']
589,bontojaya950,mobil asemka dengar,['sy ingat mobil ASEMKA klw dengar yng ini...']
590,bowodwi2,terserah ajaasal senang,"['terserah bapak aja,asal bapak senang 😁']"
591,boy_gingsul,tolong sejarawan kasih masukannya kota dipindah kali jakarta tersedia alasan pertimbangan terima kasih,"['tolong sejarawan, kasih masukannya. Ibu kota sdh dipindah beberapa Kali, tapi terakhir kembali ke Jakarta. Pasti ada alasan dan pertimbangan. thx 🇮🇩']"
592,brak____,awas dananya korupsi pejabat,['awas aja kalo dananya di korup pejabat']
593,bramfunrespa,tenan po rakak rak blas,['tenan PO rak..ak rak yakin blas']
594,brandals14,indonesiaku,['indonesiaku....🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩']
595,brandil76,esemka ditinggalkan sdhlahkami rakyat nyaman damai sentausaitu pmintaan,['esemka ditinggalkan .\nsdhlah..kami rakyat ingin nyaman damai dan sentausa..itu aja gk byk pmintaan']
596,breba03,hutan kalimantan terkikis pembangunan dam perkembangan kota siap² pemanasan global cuaca,['dan hutan kalimantan oun terkikis sedikit demi sedikit krna pembangunan dam perkembangan ibukota. siap² pemanasan global pada cuaca..']
597,brema_30,,['jangan lah pak']
598,bri_tzy08,bakato apak e pindah,['bakato apak e la']
599,brokenheart_x0x,konser korean pop jakarta mengubah kalimantan kali yah,['lah konser K-Pop d jakarta pindah ke Kalimantan kali ya?😭']
600,brqwggfffdhh,setuju mengubah kota pulau jawa sanggup menampung arus urbanisasi,['gue setuju pindah ibu kota pulau jawa yg kecil udah tdk sanggup menampung arus urbanisasi']
601,brwnsgr31_,semoga tersedia korupsi kota nusantara semoga tersedia korupsi kota nusantara,"['SEMOGA NGGAK ADA KORUPSI DI IKN', 'SEMOGA NGGAK ADA KORUPSI DI IKN']"
602,bryannanbvan,artis konser jakarta,['berarti artis luar kalo mau konser gabakal ke Jakarta lagi?']
603,bu.sri_s.pd.1,duit,['kalo punya duite..😁😂']
604,budhiadamharith,pemimpin mendefinisikan realitaskedua berterima kasih,"['seorang pemimpin adalah mendefinisikan realitas,kedua berterima kasih']"
605,budiquwkly,boros anggran,['boros anggran😭']
606,budisantoso2831,ambisi dilaksanakan mantap salam sukses pakde jokowi,['ambisi yg memang harus dilaksanakan mantab salam sukses pakde Jokowi']
607,budisaputra752,percaya,['ga percaya']
608,budisubardai,pilih anies 2024 pilih anies 2024 pilih anies 2024 pilih anies 2024 pilih anies 2024,['@budisubardai: #sayasiappilihanies2024\n#sayasiappilihanies2024\n#sayasiappilihanies2024\n#sayasiappilihanies2024\n#sayasiappilihanies2024']
609,budiwijayanto495,mantaap joko widodo,['mantaap pak joko widodo hanya bpk yg mampu begini']
610,budtres,majukan berubah yah mendukung menakjubkan,['kalau mau maju dan berubah ya harusnya mendukung. marvelous 👍']
611,bugineze72,babi,['babiiiii']
612,buhas01,mahasiswa demonstrasi biayanya mahal,"['Ke depan mahasiswa kalau mau demo, biayanya mahal 😂']"
613,buiswati1,presidenku mantap,['INI LAH PTESIDENKU MANTHAAAAB']
614,bujanglapuak65,korupsi cepat pembangunan kotanya,['asal gak da yg korupsi cepat itu pembangunan kotanya']
615,bukanbibitbiasa,sehat jokowi,['sehat selalu bapak jokowi 😇😇😊']
616,bule955,mantap,['mantap']
617,bumantara.13,ekspektasi wkwkw realitanya beda huhu,['ekspetasi wkwkw realitanya beda lagi huhu🥺']
618,bunadibunadi,bandara kertajati mangkrak berfungsi diuntungkan china,"['bandara kertajati mangkrak tidak berfungsi', 'yg diuntungkan china😂😂😂']"
619,bundaaayu,semoga allah swt memunculkan presiden sholeh,['Semoga Allah SWT memunculkan Presiden yg SHOLEH😇🤲']
620,bune503,jokowi,['lanjut kan pak Jokowi']
621,bungamaill,pas belajar sd banget guru kota mengubah kalimantan,"['dulu pas belajar di sd inget banget kata guru gua ibukota pindah ke kalimantan,, dan itu bener😳']"
622,bunnysfashion,mendukung pemindahan kota biar perekonomian adil merata,"['Saya Mendukung Pemindahan Ibu Kota Baru , Biar Perekonomian Adil Dan Merata,']"
623,butskjjj,pusat ekonomy nya jakarta,['psti sih pusat ekonomy nya msih di jakarta']
624,buyutgede132,jakarta tenggelam jawa gempa pulau nya stabil beda kalimantan,"['Jakarta mau tenggelam, P Jawa banyak gempa pulau nya masih blum stabil beda dg P Kalimantan']"
625,by_jj_999,mudah2an perindustrian pabrik2 jabodetabek yah biar Indonesia padat,['mudah2an perindustrian pabrik2 tetap di jabodetabek ya pak\nbiar nusantara ntr gak padat']
626,byyyyyaann,habis hutan indonesia,['habis semua hutan Indonesia']
627,c25realme828,,['😂😂😂😂']
628,cabemerah0707,banjir2 penebangan pohon hewan2 punah tersedia tinggal,['banjir2 penebangan pohon hewan2 pada punah ga ada tempat tinggal😳']
629,cabotlove,lihat jepang kampung kampung nya kampung terlantar mrk urbanisasi tokyo jakarta next gedung rumah rongsokan,"['lihat Jepang\nkampung kampung nya jadi kampung terlantar karena mrk urbanisasi ke tokyo, nah\njakarta next gedung rumah besar jadi rongsokan']"
630,cafeamazing,investornya larisiapa tinggal hutan,['semua investornya aja lari!!siapa yg mau tinggal di tengah hutan😅']
631,cahyoazz,nih info setuju biar berimbang,['mana ni info yg setuju.. biar berimbang..']
632,cahyorpan,,['😏']
633,caknyakak,ttep beliau terbaik,['ttep beliau yg trbaik']
634,cakradwiputra,setuju indonesia merata perkembangannya,['saya setuju supaya indonesia itu merata perkembangannya 😁']
