,User @,Comment Text,original_comment
1681,mcgregor_1234,projekmu mangkrak kabeh jok jok,['Projekmu mangkrak kabeh jok jok']
1682,mdaussastro,enak jawa kota jawa barat jawa,['enak di Jawa aja kalo ibu kota Jawa barat atau Jawa tengah']
1683,meinarif,semoga jokowi presiden melanjutkan pembangunan indonesia benar-benar terbukti hasilnya bujan spt presiden-presiden yv,"['smg pak Jokowi bisa jd presiden lg, shg bisa melanjutkan pembangunan di Indonesia yg benar2 sdh terbukti hslnya, bujan spt presiden2 yv dulu..']"
1684,meirabestari,harapannya semoga kota nusantara majukan,['Harapannya semoga IKN nanti bakal lebih maju dan lebih baik lagi']
1685,melihat_profilmu,berfikir presiden cerdas pemerataan keren banget,['Cara berfikir pak presiden sangat cerdas untuk pemerataan. keren bgt 🥰']
1686,melisatrisulis,jangaaannn kasian paru-paru dunia,['JANGAAANNN😕 kasian paru2 dunia']
1687,melly_asmar,mantaaapp pakde harga bangsa,['mantaaapp pakde.. harga diri bangsa']
1688,melonkopet,demonya mahal ongkos demonya,['Demonya jauh ini😂😂😂 mahal ongkos demonya😂😂😂']
1689,melvinshander1,pindah pusat pemerintahan nya ajklau pusat perekonomian nya jktjd kayak nya ramean jktsama kayak new york washington dc,"['Yg pndh kan cm pusat pemerintahan nya aj,klau pusat perekonomian nya msh di jkt,jd kek nya msh ttp ramean di jkt,sama kek new york dan washington DC😁']"
1690,mergreen843,duitnya,['duitnya dr mana pak???? 😏']
1691,mesinterbang,iyah,['apa iyah😏']
1692,mfaisalanwr,pa jokowi 3 periode,['Jadi yakin pa Jokowi harus 3 periode 🔥']
1693,mhar1425,materi buku ips ppkn,['apakah bakalan nambah materi buku ips ama ppkn wkwkwk']
1694,mhmmadyahya,semangat indonesia emas,['semangat baru NKRI EMAS']
1695,mhmmdaris_project,rusak hutan kalimantan,['Jangan rusak hutan kalimantan🥺']
1696,miavfaawj,blok sempet pergi kota yah blok sempet pergi kota yah,"['blok juga sempet pergi ke ibu kota yg sekarang, apa lagi yg nnti ya', 'blok juga sempet pergi ke ibu kota yg sekarang, apa lagi yg nnti ya']"
1697,miaw_kd_kpop_01,alhamdullilah yah allahgw tinggal kalimantan seneng bangetttt,['alhamdullilah ya ALLAH😭😭gw tinggal di kalimantan seneng bangetttt😭😭😢❤💕']
1698,miftaharrahman5,amiiin bpkku,['amiiin bpkku']
1699,mihrawatijunaid,ayo netizen mendukung jokowi periode 3 bangsa,"['ayo para netizen kita sama"" mendukug kembali bpk jokowi ke priode 3 demi masa depan bangsa kita .']"
1700,mikahelen30,semoga lancar pemindahan kota presiden sehat,"['semoga lancar pemindahan ibu kota,dan bpk presiden sehat selalu...']"
1701,mikejhon4,secepatny mengubah kalimantan tersedia pemerataan secepatny mengubah kalimantan tersedia pemerataan,"['secepatny Pak pindah k Kalimantan jd ada pemerataan🥰', 'secepatny Pak pindah k Kalimantan jd ada pemerataan🥰']"
1702,mileka2019,biar mega proyek mengubah tangan,['biar Mega proyek tidak pindah tangan😁']
1703,milksunshine_,jangannnn pindaahhhhh konser2 korean pop,['jangannnn pindaahhhhh nnti konser2 kpop jauh😭😭😭']
1704,milnapadli,semoga pas kota mengubah kalimantan timur pohon nya terhindar banjir tanah longsor,"['semoga aja pas ibu kota pindah kaltim tetap banyak pohon nya, supaya terhindar dari banjir dan tanah longsor']"
1705,minami_azalea,wihh nihh semoga lancar dehh bagus banget tuh,"['wihh uda mau mulai aja nihh, semoga lancar dehh pasti bagus banget tuh nantinya 😊']"
1706,mindtv.id,keren,['keren']
1707,minggus275,palangka raya kota majukan berkembang pesat kota nusantara,"['Palangka Raya tetap jadi Ibukota yg maju dan berkembang pesat, walau bukan jadi IKN.']"
1708,mio_trabazzzzz,sepaku nih,['sepaku nih']
1709,mipa264,jokowi presiden terbaik indonesia jokowi presiden terbaik indonesia,"['Jokowi presiden terbaik utk nkri ini', 'Jokowi presiden terbaik utk nkri ini']"
1710,mira_.fishing3,kebayang susah nya cari kerja,['GK kebayang susah nya cari kerja nnti']
1711,mirajspark,engkok nct lek konser mbengok e Indonesia make some noisee,"['@without you engkok nct lek konser mbengok e ""NUSANTARA MAKE SOME NOISEE""']"
1712,mirasaleh01,mantap kota numpuk hutang,['mantapppp ..ibukota baru numpuk hutang baru...😁😁😁']
1713,misnantonanto30,butuh kota nusantara butuh pupuk rasah muluk-muluk pupuk sederhana,['aku gak butuh ikn pak aku butuh pupuk pak rasah muluk2 pupuk pak sederhana kan.']
1714,miss.kinn_,setuju2 sih nya pandemi ekonomi stabil krisis dunia akhir-akhir,"['setuju2 aja sih,cuman waktu nya aja agak kurang tepat gtu klo sekarang,masih pandemi trus ekonomi blm stabil,d tambah krisis dunia akhir2 ini.']"
1715,miss.scorpionn_,sanggup kehilangan semoga pemimpin2 sepaham biar indonesia majuuu,['Gak sanggup kehilangan pak de😭 semoga pemimpin2 selanjutnya sepaham seperti pak de. Biar indonesia lebih majuuu']
1716,misyaaja1,eeem percaya tuh,['eeem ...nga percaya tuh']
1717,mitha425,presiden terbaik sejarah,['presiden terbaik sepanjang sejarah 🥰🥰🥰🥰']
1718,mitzukiyoura,ngedukung,['gw ngedukung']
1719,mmytika130169,Amin semoga pemerintah indonesia majukan sukses meraih cita-cita kesuksesan bangsa pemerintah indonesia masyarajatnyaamin2x,['Amin semoga negara indonesia makin maju dan sukses meraih cita2 kesulsesan bangsa negara indonesia dan masyarajatnya.Amin2x']
1720,mnizarshaputra,,['😁😁😁']
1721,mobil93,,['😂😂😂😂']
1722,mochmiftahfauzi,halah,['Halah']
1723,moh.jerri,takuti mengubah kalimantan mengubah hutan ditebangi pemanasan hwn kehilangan rumah,['yg saya takuti kalok pindah ke kalimantan pasti banyak yg pindah dan pasti banyak hutan yg ditebangi akhirnya menjadi pemanasan dan hwn kehilangan rmh']
1724,mohamadbasir_psikolog,ooh kalimantan,['Ooh Kalimantan Ku.... 🥺🥺🥺🥺']
1725,mohamadramdan46,biayanya bos triliunan kota uangnya memperbaiki ekonomi indonesia bos,"['biayanya bos triliunan, daripada bikin ibukota baru mending uangnya memperbaiki suluruh ekonomi di Indonesia bos']"
1726,mohedel069,semoga cepat terealisasi pekerjaan mr presiden,['semoga cepat terealisasi.. good job Mr Presiden 👍👍👍👍']
1727,mohiza7,turunkan bbm rakyat bantuan sejahtera,['turunkan BBM..hanyA rakyat yang dapat bantuan yg sejahtera 🇮🇩']
1728,mokal4t3,transparansi draft nya dongs,['transparansi draft nya juga dongs🗿']
1729,mommylira07,jakarta udah bagus,['Jakarta dah bagus Pak..']
1730,momscyintia24_,cinta jokowi engkau presiden keren pemimpin terbaik indonesia majukan,"['l love you pak jokowi. engkau presiden yg keren. pemimpin yg trbaik, dn mmpu membuat Indonesia maju']"
1731,monaaax,ekonomi meroket,['katanya ekonomi meroket']
1732,monkey_clap,Amin,['amin']
1733,monkeychan892,semangat majukan presidenku kemajuan indonesia majukan,['Semangat terus dan maju terus pak presidenku utk kemajuan Indonesia maju']
1734,moominnyarjn,keputusan berat alasan kuat semangat jokowi,['keputusan yang berat pasti punya alasan yang kuat semangat pak Jokowi🔥🔥']
1735,morgan19734,mangkrak pastinya pembangunan ambisi,"['mangkrak pastinya,pembangunan krn ambisi,']"
1736,mosic_com,tingga kalimantan,['kenapa gk tingga ke kalteng']
1737,moveon.now,kota nusantara orang orang,['IKN bukan utk org2 yg kayak elu.']
1738,moyikudz,mangkin,['mangkin jauh cuy']
1739,mpa_awa,indonesia majukan majukan amin terima kasih pkde,"['Indonesia maju dan akan terus maju , aaamiin trms pkde🥰']"
1740,mputlagi,waduuuu tugas skolah,['waduuuu tugas skolah nambah lgi']
1741,mr.07ok,karepmu pindah,['karepmu la']
1742,mr.cars78,keren,['keren...😁😁']
1743,mr.diablone,bangga jokowi,['saya bangga dengan pak Jokowi']
1744,mriskys1994,jual,['BELUM JADI SUDAH MAU DI JUAL']
1745,mrislami.mengikuti,mengubah palembang,['pindah ke Palembang Bae pak🗿']
1746,mrstm94,anak kota,['Berarti gw tahun depan udah ga aja di anak ibukota donk 😅']
1747,msaptowibowo,indonesia kota metropolitan mengubah nya kota menambah kota metropolitan setuju,['Indonesia menurut saya terlalu sedikit punya kota metropolitan\ndgn pindah nya ibukota akan menambah kota metropolitan\n#setuju']
1748,msnssjkdndnjghjvv,lanjuttt jokowi semangat,['lanjuttt pak Jokowi semangattt']
1749,muangshai,semoga jabodetabek provinsi green ekonomi megapolitan kota megapolitan pusat ekonomi nasional ramah lingkungan kota nusantara mengubah kalimatan kota nusantara kalimatan strategis kegiatan ekonomi pergi internasional pelaksana afta disertai jalan tol rel kereta api lintas negara provinsi semoga dibangun jalan tol rel double track lintas negara provinsi membantu pembangunan ikn daerah kalimantan amin tersedia pembangunan kota nusantara kalimantan timur bagus pembangunan kota nusantara bertahap,"['semoga Jabodetabek mjd propinsi Green Economi Megapolitan (Kota megapolitan pusat ekonomi nasional yg ramah lingkunga) setelah IKN pindah kalimatan.', 'IKN di Kalimatan sangat strategis dlm kegiatan ekonomi go internasional&plaksana AFTA disertai jln tol&rel Kereta Api lintas Negara&propinsi🙏', 'betul.semoga dibangun jln tol&rel double track lintas negara&propinsi utk mbantu pbangunan IKN&Daerah Kalimantan.Aaamiin.YRA', 'gak ada masalah pembangunan IKN di Kaltim.tambah bagus.apalg pbangunan IKN bertahap.']"
1750,mufidtv,ahlinya jok omkos,"['emang ahlinya kalau pak jok masalah ""OMKOS""']"
1751,muggle.zzz,biar rajin nabung jalan2 kota,['Biar makin rajin nabung trs suatu saat bisa jalan2 ke ibukota baruuu🙌🏻']
1752,muh.saidinnamaulana,sabang maroeke nusatantara kerajinan keterampilan kesenian keindahan alam indonesia wilayah kenalkan mancanegara pemerintah,"['sabang sampai maroeke disebut nusatantara dan kerajinan,keterampilan,kesenian,keindahan alam indonesia daerah udah saya kenalkan sampai manca negara']"
1753,muhamadrido691,tinggal jakarta adik kalimantan rendah resiko gempa,"['karna elu tinggal di jakarta deck²', 'di kalimantan rendah resiko gempa']"
1754,muhamadtaufix,istimewa,['istimewa']
1755,muhammad60001,mengubah profesi saleh,['Pindah profesi jadi saleh.']
1756,muhammad_aditia10,selagi korupsi yah selesai,['selagi ga di korupsi ya selesai lah😏']
1757,muhammad_fahran_almahdi,saudara kemarin main metaverse kota nusantara lahan nya penjual belikan wkwk ramai pengunjung 50 orang,"['bro kemaren gua main di metaverse, IKN lahan nya uda di penjual belikan wkwk, tapi ga terlalu rame pengunjung, ga sampe 50 orang']"
1758,muhammad_muchtar_,kota indonesia mengubah jakarta penduduk padat yah mengubah kalimantan yah penduduk jakarta mengubah kalimantan,['ibukota indo pindah dari jakarta karena penduduk padat? ya kalo pindah ke kalimantan ya penduduk jakarta pasti pindah juga lah ke kalimantan sama aja']
1759,muhammad_yusuf67,berhutang membangun berhutang membangun,['ngutang membangun 👍👍👍👍dri pada ngutang tidak membangun😇😇😁😁']
1760,muhammadhafidz1982,optimis,['optimis🥰🥰🥰']
1761,muhammadherisiahaan,3 periode jokowi sehat ya,['lanjut 3 priode pak Jokowi..sehat selalu y pak']
1762,muhammadiqbal20291,,['🥰']
1763,muhammadnur8514,angan angan langit,['angan angan setinggi langit']
1764,muhammadreski194,setuju banget terserah terbaik,['setuju banget terserah pak de pasti terbaik']
1765,muhammadriski_16,pergi pergi pergi indonesia,['go go go Indonesia']
1766,muhammadyaqubilha,hore kota indonesia,['yey gua bisa ke ibu kota indo😁😁😁😁']
1767,muharram.ra,terserah deh mumpung berkuasa terserah deh mumpung berkuasa,"['terserah deh, mumpung masih berkuasa..', 'terserah deh, mumpung masih berkuasa..']"
1768,muhfarubi,kota dipindahkan tujuannya pemerataan biaya ekonomi jawa,['nah itu ibu kota dipindahkan tujuannya supaya pemerataan biayar ekonomi tidak di Jawa saja']
1769,muhhaidir456,juta pohon dibabat,['berapa juta pohon nanti yang dibabat 😳😳']
1770,muhidinbinmusri,biar merata kota sebentar mengubah ko presidennya ganti 2024,['gpp biar merata jadi kota\ntapi ntar bisa pindah lagi ko kalo prezidennya ganti 2024']
1771,muhnasir142,secepat nya,"['lanjut pak , secepat nya']"
1772,mujiyanti852,dhe 3 periode,['pengin pak Dhe 3 periode']
1773,mukitopribadicakkacong,mantap jokowi is the terbaik,['🥰🥰🥰 MANTAP PAK JOKOWI IS THE BEST']
1774,mukrancung,,['😁😂😂masa sih pak de']
1775,mulkan121qq,memaksakan mengubah pademic selesai crazy rich minyak solar minyak makan 3 periode,"['terlalu memaksakan kalau pindah di masa sekarang, pademic belum kelar juga, crazy rich, sampai Minyak solar dan minyak makan. mau tambah 3 periode']"
1776,mulyadi9613,jokowi by gbu,['Lanjuuut pak jokowi... by GBU ..👍👍👍']
1777,mulyadijaya82,meroket hutangnya,['makin meroket hutangnya']
1778,mulyani2027,kataanya 2023 dunia gelap sih mengerti,['ktny taun 2023 dunia akan gelap kt Bpk..gmn si gk ngerti sy']
1779,munawirfahrie,orang kalimantan wajib mendukung capres melanjutkan kota nusantara Indonesia pemerataan pembangunan keadilan kebaikan,"['orang kalimantan wajib mendukung capres yg mau melanjutkan IKN Nusantara untuk pemerataan pembangunan & keadilan, juga kebaikan semua🥰']"
1780,muntalibmuntalib,semoga pekerjaan nya lancar amiin,['smoga pekerjaan nya lancar Aamiin']
1781,muntiani0586,3 periode ya jokowi hebat,['3 periode nggih pak ku jokowi hebat']
1782,mura.talia,wiii gasabar menunggu benar-benar rampung,['wiii gasabar menunggu bener2 rampung']
1783,murayyati65,mantap,['mantappp ...']
1784,musfik2605,menganggur membangun lapangan pekerjaan,"['masih banyak yg nganggur pak , kira2 kapan bisa membangun lapangan pekerjaan']"
1785,musik__punk,pemerintah pemerintah majukan pemerintah berkembang rakyat nya merasakan keadilan,"['negara pantas disebut negara maju dan negara berkembang, tpi kalok rakyat nya udah merasakan keadilan 🗿']"
1786,muslihaulia,makmur indonesiaku jaya indonesiakujokowi idola periode setuju,['makmur indonesiaku...jaya indonesiaku...jokowi idolaku...5 priode aku setuju..🙏']
1787,muslim8266,pemimpin pemerintah manager marketing,"['ini pemimpin negara apa manager marketing,,,, 😆😆😆😆😆']"
1788,musrianimuslim,semoga sehat-sehat slallu jokowi,['smoga sehat2 slallu pak jokowi.']
1789,musta8,presiden jokowi bagus menggantikan jokowi,"['presiden jokowi sangat bagus, lalu siapa nanti yang akan menggantikan jokowi?']"
1790,mustafaahmad8127,hutang membangun kota nusantara hutang membangun kota nusantara jokowi menterinya bayar hutang pembangunan kota nusantara hutang membangun kota nusantara dibebankan rakyat menaikkan harga kebutuhan pokok pajak,"['Asalkan jangan dari hutang membangun IKN, jika dari hutang membangun IKN maka anda Jokowi dan menterinya yang Bayar hutang pembangunan IKN', 'Hutang membangun IKN jangan dibebankan ke rakyat dengan menaikkan semua harga kebutuhan pokok dan pajak']"
1791,mutiaraaa_9,,['👍👍👍👍👍']
1792,muzakar72,pola pikir indonesia pulau jawa,['Pola pikir yang baru bahwa Indonesia bukan hanya tentang Pulau Jawa.']
1793,my_opinion99,setuju mengubah kota jumlh penduduk dibatasi cuman 1jt penduduk aja setuju tetep aja jawa padat-padat aja,"['saya setuju pindah ibukota,tapi kalau jumlh penduduk dibatasi cmn 1jt pendduk ajh gw gak setuju, tetep ajh Jawa masih padat2 ajh']"
1794,mybabymichiko,semoga jokowi presiden,['semoga pak Jokowi JD presiden selamanya.']
1795,mymia072,sejarah tebal buku pendidikan kewarganegaraan,"['bakal jadi sejarah, dan makin tebal buku pkn😂']"
1796,myono872,,['betul 👍👍👍']
1797,mzomarst,udah,['dah lah']
1798,n4ddvv,tersedia konser korean pop nontonnya anjir,"['@Lwrntzy. @𝐭𝐢𝐜𝐤𝐥𝐞𝐬𝐡𝐨𝐨𝐩༊ nanti kalo ada konser kpop nontonnya disana ?😭, anjir makin jauh']"
1799,naaaaaa_555,orang jawa tersedia bencana bingung,['gw orang Jawa kok disini gk ada bencana tu kok bingung']
1800,nabilpst86,pindahnya bang,['kapan pindahnya bang']
1801,nadrhaha_,bellooooommmm siiaaapppp bellooooommmm siiaaapppp,"['bellooooommmm siiaaapppp', 'bellooooommmm siiaaapppp']"
1802,nafangopas.7,demonstrasi ayo gayss,['demo ayo gayss']
1803,nafeyazidalamudi,memikirkan pemindahan kota hutang dipikirkn memikirkan pemindahan kota hutang dipikirkn,"['kok mikir pemindahan ibu kota harusx utangx dipikirkn dulu', 'kok mikir pemindahan ibu kota harusx utangx dipikirkn dulu']"
1804,najaeli__,semoga konser jakarta nonton,"['semoga nanti kalo konser tetap di jakarta, walaupun emang ga bisa nonton 😭']"
1805,nala43782,takut banget kalimantan hijau berubah gedung gedung,['takut banget kalimantan sekarang yang hijau nanti berubah jdi gedung gedung..']
1806,nama.gilang.saja,mendukung kota mengubah biar jakarta polusi,['saya mendukung ibu kota pindah biar Jakarta gak banyak polusi']
1807,namaku_fian_,tenggelem,['soalnya mau tenggelem']
1808,namalo86,kitatungguendingngnyaapamangkrak,['kitatungguendingngnyaapamangkrak😳']
1809,namawafi,alah ikb minyak mahal susah pupuk,['alah banyak yg lebih penting dr pada ikb mnyk mahal tp susahapalagi pupuk']
1810,name.ranxyx,yah bangun gedung gedung pepohonan tebang tebangin banjir,['ya sama aja nanti klo di bangun gedung gedung dan pepohonan di tebang tebangin kan banjir juga']
1811,nan40581,kayak promosi gitu,['kok kYak promosi apa gitu😃']
1812,nan_tunnga,utang majukan,['dan utang pun makin maju\n😂😂😂😂😂😂😂']
1813,nanda_putra1243,visi misi agenda pemerintah majukan semangat dhe,['VISI MISI DAN AGENDA BESAR NEGARA KU UNTUK LEBIH MAJU.. SEMANGAT PAK DHE']
1814,nandikagemers,Indonesia kota indonesia 3,['jadi nanti nusantara akan menjadi ibukota Indonesia yang ke 3']
1815,nangpadma_,smga jokowi lindungi tim,['smga p Jokowi sllu di lindungi oleh TYME 🙏']
1816,nanikwidayati0,selamat indonesia jokowi indonesia majukan,['Selamat Datang Masa Depan Indonesia Baru ....tetap bersama Pak Jokowi Indonesia Maju 👍👍👍💪💪💪😇🙏🙏']
1817,nannn035,luas hutan tebang,['Semakin luas semakin banyak hutan yg di tebang di sana']
1818,nartoito,kota demonstrasi,['ibu kota baru tanpa demo']
1819,nasehatwaktu,mendukung kota nusantara pembangunan jawa,"['saya mendukung ikn, saatnya pembangunan luar jawa']"
1820,nasrulhidayat907,hadeeee penduduk polisi,['hadeeee bakal banyak penduduk di sini dan polisi ini 😌']
1821,nastiar483,paru paru dunia rusak,"['jngn sampe jadi, jangan smape paru paru dunia rusak']"
1822,natradartan,habis hutan,['habis sudah itu hutan']
1823,naufal_ya03,menolak kota pindahkan padat nya penduduk pulau jawa nya pindahkan,['yg nolak tau apa? ibu kota di pindahin karna padat nya penduduk di pulau Jawa maka nya di pindahin']
1824,naysilaverdar,jakarta kalimantan,['aku ke Jakarta aja belum ini ke kalimantan']
1825,nazarnstt,jokowi mimpin menuntaskan kota nusantara,['pak jokowi mimpin lagi lah nuntaskan IKN dulu ... 🥺']
1826,nazwamaharani580,eh kalimantan setau habitat hewan langka,"['eh jngn dong, kalimantan setau gw habitat hewan langka😭😭']"
1827,nb.seban,kereta jak bandung bingung dananya gimana yah,"['kereta jak bandung aja bingung dananya, gmn ya, jelasin dong']"
1828,ncylibra,konser jakarta nntn mengubah klimantan,"['konser"" di jkt aja blm bisa nntn apalagi klo pindah klimantan :""']"
1829,ndraade1,insya allah jokowi,['insya Allah nggak jadi pak jokowi']
1830,ndree2003,sbntar cita cita kota tercapai,['akhirnya sbntar lagi cita cita ku ke ibu kota tercapai']
1831,necco123456,2050 keknya ngebangun Indonesia kayak gitu,"['20/50 thn gk cukup keknya buat ngebangun nusantara jadi kek betul"" ibu gitu']"
1832,nejochanludhiz,cinta cinta cinta pemimpin sehat,['love love love pemimpin ku sehat selalu']
1833,neltjeruntu,god bless jokowi,['God bless pak Jokowi']
1834,nelton8537,indonesia majukan,['Indonesia Maju👌']
1835,nenengromlahjohar,yah aloh yah aloh yah aloh ekonomi sulit pnya laki single parentpuciiing cari uang biaya kuliah anak jakarta aja deh,['ya aloh ya aloh ya aloh ekonomi sy sulit pak ga pnya laki single parent...puciiing cr cuan buat biaya kuliah anak...sy mh ttp jakarta aj deh']
1836,neng_skb,presiden sales produk,['kirain presiden\nternyata Sales produk 😂😂']
1837,netizennvhfghgchbvbj,pikir pemerintah majukan teknologi miliki ekonomi kuat pendidikan merata majukan kesehatan terjamin,"['saya pikir negara maju itu terlihat dr teknologi yg di miliki, ekonomi yg kuat, pendidikan merata jg maju, kesehatan terjamin']"
1838,netzplus62,mangkrak tersedia investor,['mangkrak.. kalau gak ada investor 😂😂😂']
1839,nezha_ra01,tolong kesejahteraan rakyat pikirkan lapangan pekerjaan tercipta rakyat makmur,['tolong pak kesejahteraan rakyat perlu di pikirkan lgi terutama lapangan pekerjaan agar tercipta rakyat yg makmur.']
1840,nf_fikriyah,majukan,['maju terus pk']
1841,ngaji_sgtenanan,semoga lancarkan proyek,['senoga di lancarkan dalam proyek ini']
1842,ngurahdenis,menjalankannya susah bang,['ngejalaninnya susah bang😔']
1843,niangagung,dengarkan rencanakan tersedia,['itu dengerin itu sejak dulu itu di rencanakan tapi blm ada yg bisa']
1844,niasagita1612,uangnya bayar utang hutang,['mending uangnya buat bayar utang aja dr pd hutang semakin banyak']
1845,nickykamunanyak102u11,yes beruntung banget tinggal kalimatan timur salam tenggarong,['yes beruntung banget gw tinggal Kalimatan Timur salam tenggarong']
1846,nieng_wazai,kota mobil esemka goib,['jgnkan ibu kota.... mobil esemka saja goib...']
1847,nikeaio,kota taruh,['bapak kota di taruh mana']
1848,nikmatussaadah3068,semoga berhasil kenyataan amiin,"['semoga berhasil dan jadi kenyataan, aamiin']"
1849,niknik0648,setuju,['setujuuuu']
1850,nilaaaaaee8,semoga mengubah nya kalimantan jalan jalan perbaiki,['semoga dengan pindah nya di Kalimantan jalan jalan kmi bisa di perbaiki juga 😂']
1851,nilaafriani78,tim mendukung nya dipindah papua dpr mpr,['saya tim yg mendukung 🥰 malah pengen nya dipindah ke Papua 😂😂 khususnya DPR MPR 🤣🤣🤣']
1852,nin_qiaa,esemka percaya,"['setelah esemka ,msh percaya?']"
1853,ningceupishesha,kesana ah selfi selfi kayaknya keren he he majukan bangsa indonesia,['mau kesana ah buat Selfi Selfi kayaknya keren he he maju bangsa Indonesia']
1854,ningluna68,dukung jokowi,['dukung jokowi']
1855,ninikmardiani280,mantap presiden jokowisemangat,['Mantap president jokowi....semangat bpk...!']
1856,niningweka,jokowi hebat indonesia majukan semoga sehat,"['Luar biasa bpk Jokowi, hebat Indonesia pasti maju. semoga sehat selalu']"
1857,nisaliyah02,berprasangka buruk,['Makanya jangan dulu berprasangka buruk 😅']
1858,nixxx766,bang kenpa pemerintah uang warga nya bayar utang pemerintah pemerintah gampangtolong,"['bang, kenpa negara gak bikin banyak uang aja buat di bagi ke warga nya dan buat bayar utang negara ke negara aja kan lebih gampang😳😳...tolong jawab']"
1859,nndnrchynt,yah nya kota jogja pelan-pelan keren,['ya gpp juga sih. kan dlu nya juga ibukota di jogja. pelan2 pasti keren.']
1860,nngynsfdlh,menghabiskan lahan pepohonan,['ingin menghabiskan lahan pepohonan dulu']
1861,nnurhayatii2,setuju,['saya setuju aja pak yg penting baik']
1862,noah2043_,sebentar kalimantan rusak mengubah kemana,['ntar kalau Kalimantan udah rusak pindah kemana lagi toh']
1863,noctissrinarendra,tersedia pikir asn bawa kalimantan yah silahkan kota mengubah,"['udah ada yg mikirin', 'asn yg di bawa nggak bakal banyak, kalimantan gede', 'ya silahkan, tapi lebih baik ibukota pindah.']"
1864,noelleaft17,mendukung jokowi,['Mendukung jokowi']
1865,nomer3412,,['😄']
1866,nomercy4u_,semoga presiden melanjutkan rencana jokowi,['semoga aja presiden berikutnya bisa melanjutkan rencana pak jokowi dengan baik😂']
1867,nonoyunadhi,kerja nyata transformers indonesia maju jokowi pemimpin hebat berani,['kerja nyata Transformers indonesia maju..jokowi pmimpin hebat dan berani']
1868,norferianto,era karno jakarta macet ya,['era Bung Karno Jakarta udah macet yaa..😁']
1869,normarediansyah,mendukung Indonesia sentris jawa sentris,['saya sangat mendukung 🥰🥰🥰 bismillah indonesiasentris bukan jawasentris']
1870,nothingwithoutallah,rakyat lapar bangun infrastruktur sungguh kebijakan,['rakyat lapar\nbangun infrastruktur\nsungguh kebijakan yg sangat luar biasa']
1871,nott949,kalimantan timur banjir kak banjir loh,['di Kalimantan timur aja tau banjir kak... baru baru ini banjir loh 😀']
1872,nova_palupi,ya ya paham terbaik indonesia nggiihhbaiklah,"['nggih nggih pak ..paham, yg terbaik u Indonesia nggiihh....baiklah 🤩🤩🤩🤩🤩🤩🤩🤩🤩']"
1873,novaalexsandra2,pinter biar pemerintah didemoolah demonstrasi kalimantan ya kejauhan,['pinter biar pemerintah gk bisa didemoo..lah klu mau demo k kalimantan y kejauhan...']
1874,noval_gusty,setuju biar pembangunan merata jawa majukan,['setuju biar pembangunan merata jgn jawa aja yg maju']
1875,novia.880,semoga indonesia maju Amin,['smg indonesia mkin mju amin']
1876,novihandayani059,kalimantan mengawasi tambang kayu tambang batu bara biar ekspor ya lancar,['klau di Kalimantan nanti bisa ngawasi tambang kayu tambang batu bara biar bisa ekspor y lancar']
1877,novikov_072,eh hutan,['eh... itu hutan gimana...']
1878,noyjames18,paham,['udah paham']
1879,nqcyaa,mengubah kalimantan jawa padet,"['@pejeua jd pgn pindah ke Kalimantan, jawa padet']"
1880,nrtrsoct,paru dunia dh terancam warga kalimantan terancam,"['paru"" dunia dh terancam🥺🥺🥺\naku sebagai warga kalimantan ngerasa terancam🥺🥺🥺']"
1881,nt_hahaa2,dunia insya allah semoga membayangkan,"['kita tidak tahu didunia ampe kapan insya allah semoga kita bisa melihat masa depan......', 'hanya bisa ngebayang', 'itu siapa yg bikin']"
1882,ntah_036,medan,['Knpa ga di medan aja pak😂']
1883,ntodsony,marketing developer,['marketing Atau Developer pak..😅😅😅']
1884,nunihuryani,hutang,['HALUUÙUUUUUUUUUU.....UTAAAAAAAAAAAANG!!!!!!!!!!!!!😂😂']
1885,nunukwidayati66,,['👍👍👍👍👍👍👍']
1886,nurasiah2271,bangun transfortasi pembangunan memindahkan gedung kota pemerintah pakai uang,['klo bangun transfortasi gk masalah klo pembangunan memindahkan gedung ibu kota negara kg pke uang']
1887,nuratriaprilasari92,Esemka Kartu sembako murah wujudkan lompat lompat,"['😳 Esemka,kartu sembako murah dulu wujudin jangan lompat lompat']"
1888,nurdincandra667,sehat jokowi keren presiden,['sehat selalu pak JOKOWI....anda kreeennn bapak presiden ku 🥰🥰🥰👍👍👍👍🙏']
1889,nurhayatibugis0,presidenku,['@shy slalu pak presidenku']
1890,nurlince53,Amin tuhan meberkati,['Amin Tuhan meberkati']
1891,nurraiyah01,alhamdulillah,['Alhamdulillah 🤲🤲🙏🙏']
1892,nurstampmojoroto,semoga jokowi sehat kota nusantara terwujud berdoa jelek berdoa insyaallah indonesia majukan,['semoga pak jokowi sehat selalu dan ikn bisa terwujud. dari pada berdoa jelek lebih baik berdoa yg baik. InsyaAllah Indonesia tambah maju']
1893,nurtianarpakpahan,semangat jokowi lanjutkan,['semangat ...Pak Jokowi lanjutkan']
1894,nurulqurantii_,gampang cari kerjaan insyaallah pindahtapi kepikiran kerja kalimantan banget kampung halaman gampang cari kerjaan insyaallah pindahtapi kepikiran kerja kalimantan banget kampung halaman,"['gampang cari kerjaan insyaAllah kalo pindah,tapi ga kepikiran kerja di kalimantan jauh bgt sama kampung halaman🥺', 'gampang cari kerjaan insyaAllah kalo pindah,tapi ga kepikiran kerja di kalimantan jauh bgt sama kampung halaman🥺']"
